CustomerID,Recency,Frequency,Monetary,Cluster
12346,325,1,0,3
12347,1,103,2458,0
12348,74,22,2341,2
12349,18,73,631,0
12350,309,17,197,3
12352,35,59,470,0
12353,203,4,20,1
12354,231,58,530,1
12355,213,13,240,1
12356,22,53,1591,0
12357,32,131,2708,0
12358,1,13,248,0
12359,7,214,1599,0
12360,51,105,1165,2
12361,286,10,91,3
12362,2,201,2212,0
12363,109,23,408,2
12364,7,70,1506,0
12365,290,22,173,3
12367,3,11,173,0
12370,50,143,2352,0
12371,44,63,591,0
12372,71,34,794,2
12373,310,14,197,3
12374,24,33,342,0
12375,2,14,177,0
12377,314,72,944,3
12378,129,219,2529,2
12379,81,39,406,2
12380,21,77,1126,0
12381,4,70,783,0
12383,184,84,1529,1
12384,28,26,121,0
12386,337,10,354,3
12388,15,57,1462,0
12390,79,32,353,2
12391,21,92,293,0
12393,71,47,816,2
12394,63,26,819,2
12395,15,91,2113,0
12397,35,110,1263,0
12398,45,85,1394,0
12399,118,47,1178,2
12401,302,5,11,3
12402,322,11,94,3
12403,49,5,95,2
12405,148,54,857,1
12406,21,92,1809,0
12407,49,57,1416,2
12408,32,81,1399,0
12409,78,91,5543,2
12410,300,26,209,3
12412,74,43,829,2
12413,66,29,282,2
12414,216,16,300,1
12415,23,444,77242,0
12417,2,158,1539,0
12418,112,34,407,2
12420,63,29,345,2
12421,15,33,483,0
12422,95,39,370,2
12423,0,97,1327,0
12424,162,30,740,1
12425,77,36,496,2
12426,194,30,258,1
12427,11,26,236,0
12428,25,258,3503,0
12429,8,82,1557,0
12430,42,11,117,0
12431,35,163,2858,0
12432,42,107,1801,0
12433,0,219,11071,0
12434,84,49,373,2
12435,79,31,2055,2
12436,99,16,211,2
12437,1,119,2918,0
12438,13,84,1180,0
12441,366,11,121,3
12442,2,12,182,0
12444,20,138,1155,0
12445,21,4,62,0
12446,57,58,352,2
12447,242,26,190,1
12448,43,22,243,0
12449,21,118,1553,0
12450,155,7,128,1
12451,10,265,6455,0
12452,16,21,183,0
12453,133,43,473,2
12454,52,15,0,2
12455,72,85,2089,2
12456,43,105,1616,0
12457,57,53,695,2
12458,70,35,506,2
12461,93,35,287,2
12462,1,51,514,0
12463,45,66,757,0
12464,9,6,112,0
12465,7,46,475,0
12468,142,36,364,1
12471,1,152,7953,0
12472,30,226,4020,0
12473,28,140,2338,0
12474,16,253,4750,0
12475,53,36,535,2
12476,0,177,2337,0
12477,22,192,3620,0
12478,3,36,236,0
12479,3,31,351,0
12480,27,129,1707,0
12481,22,150,3280,0
12483,16,46,1097,0
12484,32,256,2181,0
12488,9,46,529,0
12489,335,15,105,3
12490,4,131,3064,0
12491,38,25,260,0
12492,62,19,192,2
12493,165,20,206,1
12494,9,63,690,0
12497,81,14,1236,2
12498,20,21,159,0
12500,22,34,2671,0
12501,314,149,1722,3
12502,95,102,820,2
12503,337,1,-1,3
12504,17,6,51,0
12505,300,1,-1,3
12506,232,23,23,1
12507,133,19,894,2
12508,25,57,271,0
12509,283,7,55,3
12510,142,29,353,1
12512,65,31,96,2
12513,84,35,456,2
12514,266,51,440,3
12515,352,16,131,3
12516,77,20,875,2
12517,27,232,1338,0
12518,0,84,1318,0
12519,63,17,175,2
12520,78,121,1430,2
12521,142,38,309,1
12522,38,11,194,0
12523,1,84,861,0
12524,8,113,3699,0
12526,0,64,632,0
12527,81,18,234,2
12528,8,50,750,0
12530,59,51,900,2
12531,14,17,45,0
12532,29,16,153,0
12534,130,63,651,2
12535,91,28,219,2
12536,7,260,2652,0
12538,28,21,191,0
12539,21,158,2066,0
12540,19,278,6677,0
12541,29,46,680,0
12544,29,19,132,0
12545,74,42,523,2
12546,46,59,617,0
12547,197,7,134,1
12548,165,5,49,1
12550,78,57,569,2
12551,357,10,100,3
12552,38,20,88,0
12553,7,95,1924,0
12556,49,100,355,0
12557,15,15,4384,0
12558,1,11,0,0
12559,310,21,281,3
12560,4,92,1078,0
12561,302,16,177,3
12562,7,99,1779,0
12564,260,21,133,3
12565,281,9,75,3
12566,72,19,264,2
12567,22,323,4089,0
12569,1,92,1793,0
12571,39,31,523,0
12572,8,53,450,0
12573,226,26,84,1
12574,315,11,61,3
12576,35,72,964,0
12577,34,137,463,0
12578,20,112,1171,0
12579,72,29,278,2
12580,246,24,238,1
12581,39,15,161,0
12582,238,21,300,1
12583,2,115,5009,0
12584,3,44,354,0
12585,233,77,1258,1
12586,16,12,77,0
12587,7,4,51,0
12588,38,10,53,0
12589,28,29,306,0
12590,189,68,4279,1
12591,316,26,228,3
12592,91,11,290,2
12593,108,14,206,2
12594,37,50,1776,0
12596,50,25,474,2
12597,18,184,2187,0
12598,9,84,1940,0
12599,28,32,956,0
12600,28,32,773,0
12601,189,21,244,1
12602,58,12,162,2
12603,21,3,64,0
12604,78,15,201,2
12605,364,3,-4,3
12607,57,101,0,2
12609,77,57,648,2
12610,22,85,1028,0
12611,51,65,846,2
12612,57,19,251,2
12613,30,124,1596,0
12614,277,20,76,3
12615,1,82,1376,0
12616,84,25,273,2
12617,28,39,210,0
12618,21,11,96,0
12619,15,50,3354,0
12620,14,89,1181,0
12621,1,261,7404,0
12622,231,11,69,1
12623,275,18,191,3
12624,105,36,355,2
12625,211,74,1577,1
12626,22,232,3350,0
12627,10,162,2752,0
12628,3,34,445,0
12630,9,60,548,0
12631,56,31,236,2
12633,58,73,1149,2
12635,89,96,1172,2
12637,66,205,2982,2
12638,32,39,577,0
12639,238,22,201,1
12640,23,47,311,0
12641,114,10,72,2
12642,24,39,552,0
12643,127,11,1808,2
12644,129,31,325,2
12645,33,58,1072,0
12646,4,43,897,0
12647,21,79,1420,0
12648,154,21,160,1
12649,106,30,574,2
12650,2,20,254,0
12651,334,9,78,3
12652,321,48,502,3
12653,148,37,919,1
12654,10,31,264,0
12656,16,89,1708,0
12657,10,35,654,0
12658,18,36,320,0
12659,29,5,105,0
12660,10,13,127,0
12662,0,129,2040,0
12664,7,10,1202,0
12665,324,3,36,3
12666,358,2,-56,3
12667,57,33,395,2
12668,6,115,1595,0
12669,150,98,1114,1
12670,9,58,1391,0
12672,329,10,78,3
12673,4,42,351,0
12674,11,52,1103,0
12676,24,33,670,0
12678,41,105,10899,0
12679,51,45,530,2
12680,0,33,443,0
12681,14,267,7518,0
12682,3,209,5555,0
12683,3,177,4903,0
12684,7,61,1985,0
12685,27,117,1523,0
12686,371,7,107,3
12688,113,171,3028,2
12689,25,57,628,0
12690,205,16,106,1
12691,27,21,394,0
12693,120,35,250,2
12694,69,32,509,2
12695,6,23,220,0
12697,20,37,499,0
12700,7,193,2963,0
12701,79,50,678,2
12702,19,12,53,0
12703,63,21,161,2
12704,6,64,1003,0
12705,14,228,3973,0
12707,291,33,256,3
12708,29,86,1270,0
12709,2,103,3808,0
12710,96,75,849,2
12712,22,59,1044,0
12713,0,38,508,0
12714,8,216,3069,0
12715,105,20,192,2
12716,3,60,708,0
12717,150,49,505,1
12718,70,19,203,2
12719,4,34,361,0
12720,2,211,4654,0
12721,31,134,1954,0
12722,84,50,560,2
12723,3,53,434,0
12724,4,47,445,0
12725,370,24,164,3
12726,27,57,3143,0
12727,10,109,2085,0
12728,70,38,419,2
12729,113,26,233,2
12731,23,109,8366,0
12732,179,12,111,1
12733,233,22,137,1
12734,352,4,88,3
12735,314,38,368,3
12736,332,4,173,3
12738,371,11,148,3
12739,77,38,486,2
12740,63,27,342,2
12743,133,114,315,2
12744,51,178,5234,0
12747,1,42,1275,0
12748,0,1769,23750,0
12749,3,160,1422,0
12750,128,15,137,2
12752,80,53,2262,2
12753,3,132,11250,0
12754,235,50,6479,1
12755,249,5,866,1
12756,86,4,144,2
12757,15,237,2378,0
12758,116,84,2135,2
12759,51,81,902,2
12762,7,62,1227,0
12763,137,16,316,1
12764,316,45,386,3
12766,3,205,3646,0
12769,238,32,356,1
12770,210,12,743,1
12772,59,55,556,2
12775,16,47,853,0
12778,19,40,824,0
12779,20,88,1996,0
12781,20,25,592,0
12782,4,81,1070,0
12783,1,76,622,0
12784,8,54,280,0
12785,2,14,128,0
12787,9,17,261,0
12789,64,4,4,2
12790,191,21,166,1
12791,373,2,97,3
12792,256,25,217,3
12793,334,21,295,3
12794,52,43,592,2
12795,18,14,68,0
12797,359,13,79,3
12798,9,6,5256,0
12802,183,25,302,1
12808,36,27,188,0
12809,167,25,219,1
12811,260,27,230,3
12812,44,15,164,0
12814,101,2,49,2
12815,147,38,379,1
12816,95,27,128,2
12817,280,4,53,3
12818,177,14,923,1
12820,2,55,722,0
12821,213,6,70,1
12822,70,41,548,2
12823,74,1,230,2
12824,59,25,232,2
12826,2,58,1054,0
12827,5,19,197,0
12828,2,46,494,0
12829,321,9,375,3
12830,37,14,9847,0
12831,261,9,135,3
12832,31,27,195,0
12833,144,24,156,1
12834,282,18,110,3
12836,58,148,1062,2
12837,172,12,24,1
12838,33,115,355,0
12839,2,96,3804,0
12840,143,67,1505,1
12841,4,230,2646,0
12842,69,34,547,2
12843,65,69,753,2
12844,28,47,125,0
12845,266,26,204,3
12847,21,72,873,0
12849,30,47,597,0
12851,96,43,106,2
12852,289,17,145,3
12853,107,66,782,2
12854,78,97,621,2
12855,372,3,30,3
12856,7,155,1073,0
12857,210,37,343,1
12863,51,5,186,2
12864,137,3,216,1
12865,25,87,877,0
12866,282,26,171,3
12867,25,241,4260,0
12868,185,72,928,1
12870,365,2,-2,3
12871,83,8,200,2
12872,326,58,319,3
12873,281,4,128,3
12875,142,1,2019,1
12876,57,67,1941,2
12877,3,100,1178,0
12878,17,38,536,0
12879,44,7,363,0
12881,275,7,21,3
12882,8,12,246,0
12883,24,39,196,0
12884,87,7,43,2
12885,62,66,654,2
12886,67,75,761,2
12888,213,4,68,1
12890,23,78,256,0
12891,185,2,950,1
12893,30,27,90,0
12895,41,22,204,0
12897,204,3,110,1
12901,8,32,20915,0
12902,264,10,66,3
12904,17,59,294,0
12906,11,55,1749,0
12908,58,2,0,2
12909,39,78,1270,0
12910,22,48,1692,0
12912,2,17,670,0
12913,4,37,1419,0
12915,148,19,93,1
12916,138,53,1075,1
12917,127,2,120,2
12919,7,34,668,0
12920,16,27,128,0
12921,3,233,9454,0
12922,160,28,370,1
12923,63,28,68,2
12924,87,22,480,2
12925,4,42,541,0
12928,34,59,1472,0
12929,121,8,36,2
12930,77,20,250,2
12931,21,29,23377,0
12933,23,103,498,0
12935,1,80,1852,0
12936,16,56,539,0
12937,14,81,1007,0
12938,25,9,140,0
12939,63,21,4876,2
12940,45,88,399,0
12942,130,68,198,2
12943,300,1,-1,3
12944,35,29,289,0
12945,287,23,165,3
12947,143,83,1157,1
12948,15,82,1077,0
12949,30,166,2363,0
12950,1,13,1380,0
12951,8,54,500,0
12952,5,64,652,0
12953,9,17,84,0
12955,0,81,3642,0
12956,305,19,34,3
12957,3,208,2531,0
12962,6,15,129,0
12963,7,76,873,0
12965,88,108,282,2
12966,9,10,75,0
12967,2,21,243,0
12968,111,5,73,2
12970,6,116,268,0
12971,3,95,9203,0
12974,197,8,24,1
12976,211,22,561,1
12977,155,9,12,1
12980,155,6,864,1
12981,29,12,242,0
12982,239,28,278,1
12984,18,4,26,0
12985,0,73,1413,0
12987,73,27,217,2
12988,291,75,126,3
12989,2,41,2915,0
12990,30,8,200,0
12991,22,31,405,0
12993,22,26,240,0
12994,3,52,440,0
12995,77,3,98,2
12997,21,45,648,0
12999,195,25,342,1
13000,106,30,379,2
13001,3,166,5482,0
13002,317,7,73,3
13003,105,4,103,2
13004,11,277,4796,0
13005,173,21,167,1
13006,55,4,55,2
13008,322,15,115,3
13011,371,3,13,3
13012,8,68,667,0
13013,0,155,2217,0
13014,2,67,886,0
13015,52,156,1609,2
13016,72,39,527,2
13017,6,1,48,0
13018,15,313,5434,0
13021,3,103,1336,0
13023,63,36,286,2
13026,0,34,1586,0
13027,113,6,17280,2
13028,22,40,796,0
13029,30,8,134,0
13030,10,76,348,0
13032,38,55,367,0
13033,356,11,83,3
13034,54,37,369,2
13035,57,23,627,2
13037,137,44,431,1
13038,79,24,360,2
13040,8,38,355,0
13043,253,13,251,3
13044,290,33,429,3
13045,98,18,221,2
13046,30,33,264,0
13047,31,106,1355,0
13048,13,77,1220,0
13049,63,14,268,2
13050,8,246,3707,0
13052,211,18,222,1
13055,63,74,891,2
13058,24,5,52,0
13059,249,8,35,1
13060,253,15,123,3
13061,71,10,107,2
13062,190,11,343,1
13064,12,51,514,0
13065,372,14,74,3
13066,23,48,320,0
13067,81,14,32,2
13068,9,1,200,0
13069,0,285,5454,0
13070,191,9,110,1
13072,266,7,69,3
13075,129,22,485,2
13077,0,99,862,0
13078,0,96,5557,0
13079,3,2,62,0
13080,178,6,120,1
13081,0,511,19021,0
13082,125,63,4313,2
13083,3,15,187,0
13085,157,17,108,1
13089,2,636,30742,0
13090,8,98,2194,0
13091,20,21,450,0
13092,70,19,271,2
13093,266,99,3943,3
13094,20,4,1542,0
13095,70,6,144,2
13097,32,215,2338,0
13098,0,163,15911,0
13099,98,1,288,2
13101,233,8,113,1
13102,0,141,4160,0
13103,39,8,82,0
13104,2,14,504,0
13106,128,1,14,2
13107,43,54,1288,0
13108,372,10,298,3
13109,2,41,514,0
13110,30,109,384,0
13113,0,113,2594,0
13115,8,92,1534,0
13116,116,30,290,2
13117,21,66,945,0
13118,19,68,389,0
13120,238,1,12,1
13121,268,50,227,3
13122,93,54,585,2
13124,89,185,2119,2
13126,4,124,2130,0
13127,77,15,127,2
13130,93,2,32,2
13131,22,30,443,0
13132,261,3,20,3
13133,273,7,32,3
13134,72,94,1044,2
13135,196,1,4300,1
13136,49,97,1312,0
13137,10,346,2203,0
13138,21,31,473,0
13139,15,132,2418,0
13140,107,40,185,2
13141,84,113,1547,2
13142,18,23,258,0
13144,332,3,21,3
13145,39,5,142,0
13146,25,16,154,0
13147,9,1,144,0
13148,28,238,1818,0
13149,13,76,1280,0
13151,202,73,361,1
13153,5,15,418,0
13154,143,1,-1,1
13155,32,67,497,0
13157,48,69,1430,0
13158,94,59,784,2
13159,8,114,1044,0
13160,21,4,56,0
13161,312,8,29,3
13162,121,74,1663,2
13165,45,40,1376,0
13166,281,39,214,3
13167,18,51,785,0
13168,35,102,668,0
13169,63,11,272,2
13170,26,29,141,0
13171,7,37,227,0
13173,3,41,277,0
13174,15,228,1352,0
13176,45,66,448,0
13177,64,17,91,2
13178,25,95,3570,0
13182,44,11,201,0
13183,7,51,2208,0
13184,14,138,1632,0
13185,267,1,12,3
13186,39,69,804,0
13187,336,37,95,3
13188,10,2,25,0
13189,18,29,842,0
13192,94,57,595,2
13193,60,22,46,2
13194,135,3,26,1
13196,10,97,1224,0
13198,9,200,2645,0
13199,3,48,6172,0
13200,18,42,516,0
13203,9,56,800,0
13207,14,7,130,0
13208,58,124,785,2
13209,29,255,4232,0
13210,93,22,316,2
13211,9,45,834,0
13212,8,128,308,0
13213,56,82,1357,2
13216,267,5,297,3
13217,121,3,114,2
13218,126,5,88,2
13220,77,18,196,2
13221,239,62,244,1
13223,199,5,88,1
13224,59,101,1512,2
13225,2,23,3352,0
13226,272,16,80,3
13227,201,9,99,1
13228,80,2,200,2
13229,225,10,63,1
13230,3,393,1517,0
13232,12,147,773,0
13233,73,43,1004,2
13235,211,54,440,1
13236,24,34,411,0
13238,10,20,296,0
13239,261,22,363,3
13240,95,59,298,2
13242,111,12,130,2
13243,202,56,232,1
13244,92,27,38,2
13245,50,16,125,2
13246,17,110,1537,0
13247,17,18,328,0
13248,124,25,305,2
13249,91,21,546,2
13253,156,35,1572,1
13255,3,13,174,0
13256,13,1,12540,0
13258,11,28,282,0
13259,61,77,126,2
13260,60,8,142,2
13261,268,8,210,3
13262,262,11,125,3
13263,0,450,4768,0
13265,52,66,1740,2
13266,10,83,4299,0
13267,2,88,1939,0
13268,17,257,3601,0
13269,0,178,3508,0
13270,365,1,200,3
13271,36,79,168,0
13272,30,15,96,0
13273,112,16,153,2
13276,63,30,161,2
13277,15,5,176,0
13278,40,46,537,0
13279,63,9,70,2
13280,121,67,518,2
13282,17,30,289,0
13283,59,7,90,2
13284,322,13,79,3
13285,22,157,2051,0
13291,155,41,233,1
13292,38,29,347,0
13294,189,48,453,1
13295,359,11,81,3
13296,136,5,78,1
13297,7,52,963,0
13298,0,2,96,0
13299,267,5,30,3
13300,164,20,201,1
13301,103,75,345,2
13302,154,1,5,1
13304,350,21,238,3
13305,3,50,1232,0
13307,119,1,4,2
13308,22,49,840,0
13309,6,82,1544,0
13310,8,65,575,0
13311,3,25,305,0
13313,21,47,851,0
13314,1,55,487,0
13316,36,67,5507,0
13317,63,101,1003,2
13318,0,14,304,0
13319,4,211,4686,0
13320,69,77,1056,2
13321,71,10,372,2
13322,16,25,117,0
13323,2,6,175,0
13324,31,25,5200,0
13325,81,12,240,2
13327,38,74,1588,0
13328,315,17,680,3
13329,31,16,427,0
13330,92,37,751,2
13332,13,21,179,0
13334,81,207,1764,2
13336,76,51,559,2
13338,153,19,247,1
13339,200,54,326,1
13340,44,128,5770,0
13341,260,42,301,3
13343,172,19,126,1
13344,67,115,952,2
13345,276,20,139,3
13347,69,8,205,2
13348,63,14,136,2
13349,10,16,225,0
13350,15,36,284,0
13351,65,16,117,2
13352,7,24,315,0
13354,70,51,604,2
13355,121,32,314,2
13356,79,42,325,2
13357,256,85,321,3
13358,268,29,285,3
13359,58,23,159,2
13362,2,128,1379,0
13363,17,47,710,0
13364,66,10,0,2
13365,8,122,1238,0
13366,49,1,144,2
13368,256,29,327,3
13369,353,14,127,3
13370,365,39,336,3
13372,89,23,159,2
13373,60,135,1651,2
13375,80,37,441,2
13376,98,45,493,2
13379,25,85,601,0
13381,20,77,2027,0
13382,280,15,131,3
13384,30,123,2415,0
13385,329,35,281,3
13388,120,35,281,2
13389,10,50,429,0
13390,74,13,224,2
13391,203,1,4,1
13394,1,126,2215,0
13395,184,21,336,1
13396,21,42,592,0
13397,72,28,429,2
13398,191,26,281,1
13402,126,32,479,2
13403,17,3,44,0
13404,0,11,111,0
13405,73,25,165,2
13408,1,236,16119,0
13410,8,15,513,0
13411,106,17,72,2
13414,133,23,1574,2
13416,43,11,142,0
13417,4,26,162,0
13418,11,223,3839,0
13419,63,16,275,2
13420,134,8,88,2
13421,39,89,1127,0
13422,50,127,1321,0
13425,107,66,1123,2
13426,0,104,2224,0
13427,18,25,545,0
13428,9,70,151,0
13429,10,55,1390,0
13430,18,49,738,0
13431,66,44,672,2
13434,73,9,300,2
13435,4,68,2125,0
13436,1,12,76,0
13437,13,143,1283,0
13439,254,54,242,3
13441,91,13,204,2
13447,22,55,577,0
13448,16,137,1626,0
13449,23,19,222,0
13450,26,32,1982,0
13451,25,315,2122,0
13452,258,1,2,3
13453,165,16,134,1
13455,24,42,345,0
13456,17,43,756,0
13458,6,242,5460,0
13460,28,16,286,0
13461,38,14,1170,0
13462,182,9,61,1
13464,57,41,403,2
13466,99,17,258,2
13467,10,89,580,0
13468,1,184,2581,0
13470,98,7,100,2
13471,0,214,1583,0
13473,60,21,260,2
13474,235,59,129,1
13475,190,64,1012,1
13476,178,56,414,1
13477,37,57,1018,0
13479,197,14,133,1
13481,45,98,1127,0
13482,231,11,116,1
13483,65,10,160,2
13484,240,8,44,1
13485,232,23,277,1
13486,77,69,669,2
13487,57,26,265,2
13488,16,272,4512,0
13489,104,11,560,2
13491,51,73,903,2
13492,135,38,408,1
13493,274,6,380,3
13494,311,18,162,3
13495,7,34,814,0
13496,10,28,329,0
13497,282,19,159,3
13499,17,31,1358,0
13500,22,60,585,0
13501,242,52,557,1
13502,16,17,264,0
13503,70,17,248,2
13504,63,22,178,2
13505,67,182,2461,2
13506,311,26,321,3
13507,2,146,1597,0
13508,243,12,24,1
13509,8,27,1106,0
13510,0,86,1382,0
13512,260,15,143,3
13513,126,10,109,2
13514,73,4,40,2
13515,72,50,681,2
13516,20,43,985,0
13517,59,125,1360,2
13518,85,36,382,2
13519,49,8,22,2
13520,58,49,1642,2
13521,0,313,718,0
13522,29,5,44,0
13523,32,157,1745,0
13524,40,17,324,0
13525,14,5,394,0
13527,33,153,1664,0
13529,78,15,74,2
13531,204,17,174,1
13532,33,66,129,0
13533,182,61,202,1
13534,1,119,2876,0
13536,0,91,2126,0
13538,42,10,175,0
13539,85,36,314,2
13544,39,76,112,0
13546,11,72,357,0
13548,95,114,436,2
13549,25,37,457,0
13551,318,4,12,3
13552,65,82,1386,2
13555,73,128,2636,2
13557,27,31,546,0
13558,5,123,338,0
13560,6,32,63,0
13561,215,14,83,1
13562,81,50,757,2
13563,83,49,209,2
13564,143,68,634,1
13565,18,35,172,0
13566,40,134,567,0
13568,172,41,66,1
13569,16,73,156,0
13570,242,27,161,1
13571,12,157,1757,0
13572,205,32,534,1
13573,49,24,302,2
13575,22,41,449,0
13576,9,78,2640,0
13577,24,61,771,0
13579,14,19,176,0
13581,308,10,30,3
13583,155,53,725,1
13584,306,24,37,3
13587,31,8,160,0
13588,15,132,2573,0
13589,14,21,114,0
13590,10,70,1846,0
13591,64,56,485,2
13592,35,15,84,0
13593,107,77,695,2
13594,52,26,359,2
13596,5,133,384,0
13598,46,33,51,0
13599,0,172,3168,0
13600,311,19,324,3
13601,44,90,548,0
13602,64,23,267,2
13603,25,27,164,0
13606,28,40,276,0
13607,39,93,288,0
13610,11,165,486,0
13611,88,67,750,2
13614,23,171,564,0
13615,312,23,183,3
13617,39,31,300,0
13618,173,13,246,1
13621,116,19,343,2
13623,30,78,278,0
13626,252,19,209,3
13627,58,84,1266,2
13629,22,28,4372,0
13630,4,51,1377,0
13631,99,6,460,2
13632,24,121,1030,0
13634,32,156,700,0
13635,67,62,677,2
13636,36,57,586,0
13637,51,79,405,2
13638,15,8,93,0
13639,73,39,800,2
13642,215,57,151,1
13643,30,24,273,0
13644,8,144,2060,0
13645,119,5,158,2
13647,9,65,886,0
13649,256,23,139,3
13650,16,79,918,0
13651,34,6,33,0
13652,45,48,578,0
13654,42,157,2182,0
13655,113,52,605,2
13656,164,49,490,1
13657,10,16,209,0
13658,9,91,1009,0
13659,196,93,867,1
13662,85,50,528,2
13663,178,13,91,1
13666,59,12,41,2
13667,148,82,149,1
13668,2,286,3617,0
13669,50,9,237,2
13670,74,25,282,2
13672,300,5,-1,3
13673,18,47,114,0
13675,150,25,330,1
13678,151,16,924,1
13680,0,164,1265,0
13681,17,37,360,0
13682,186,3,10,1
13684,285,29,37,3
13685,2,29,5056,0
13686,182,8,70,1
13689,62,6,512,2
13690,58,9,67,2
13692,24,49,1224,0
13693,324,4,-6,3
13694,3,369,61899,0
13695,30,46,1603,0
13697,38,12,177,0
13699,154,14,66,1
13700,25,139,2281,0
13703,317,1,10,3
13704,4,111,1528,0
13705,7,25,363,0
13706,302,20,189,3
13707,266,48,351,3
13708,270,49,301,3
13709,3,244,3493,0
13710,31,8,176,0
13711,218,11,140,1
13712,246,10,352,1
13715,280,89,554,3
13716,268,21,138,3
13717,31,92,1958,0
13718,245,9,173,1
13719,14,56,609,0
13720,116,42,501,2
13721,35,28,316,0
13722,119,75,1400,2
13723,216,6,43,1
13725,49,97,659,0
13726,38,39,1054,0
13727,28,19,162,0
13728,36,38,458,0
13730,135,38,488,1
13731,218,36,278,1
13732,27,33,498,0
13735,24,161,1081,0
13736,4,167,492,0
13737,199,29,125,1
13739,17,3,54,0
13740,240,23,425,1
13741,71,34,217,2
13742,16,200,1107,0
13743,2,8,1775,0
13744,94,54,1153,2
13745,150,25,486,1
13747,373,1,8,3
13748,95,24,439,2
13750,53,20,516,2
13751,287,9,152,3
13752,123,64,874,2
13753,287,35,512,3
13754,151,11,214,1
13755,3,232,1219,0
13756,1,66,3164,0
13758,11,104,1844,0
13759,32,24,287,0
13760,53,50,197,2
13761,49,68,642,2
13762,203,7,0,1
13763,62,17,725,2
13764,70,183,926,2
13767,1,55,7258,0
13769,1,73,1152,0
13771,63,114,1476,2
13772,33,141,540,0
13774,81,22,192,2
13777,0,40,12804,0
13778,102,9,70,2
13780,6,56,318,0
13781,250,17,30,3
13782,12,96,369,0
13784,9,9,2493,0
13786,366,7,136,3
13787,75,24,337,2
13790,3,45,748,0
13791,42,7,828,0
13792,65,13,92,2
13798,0,115,23515,0
13799,116,32,402,2
13800,309,33,331,3
13801,66,23,168,2
13802,137,57,2281,1
13803,254,17,121,3
13804,30,124,1462,0
13805,51,10,1900,2
13806,63,10,56,2
13807,366,7,36,3
